word,count
問題,28
意味,25
PC,24
Emacs,24
アホ,22
酒,19
電車,19
英語,18
プログラム,18
Ruby,17
勝手,17
録画,17
流石,17
コード,17
メール,16
無駄,16
本,16
ruby,16
梅田,16
文章,15
家,15
大学,15
手,15
掃除,15
ダメ,15
レポート,15
コーヒー,14
論文,14
普通,14
スラッシュドット,14
変,14
馬鹿,13
課題,13
HDD,13
プログラミング,13
Processing,13
Debian,13
本気,13
理解,12
必要,12
電源,12
キーボード,12
NBA,12
糞,12
テレビ,11
バスケ,11
東京,11
割,11
NHK,11
次,11
ケース,11
勉強,11
タイミング,11
無理,11
TeX,11
ウイスキー,10
簡単,10
hiki,10
HHKB,10
楽,10
バス,10
本屋,10
ダウンロード,10
世界,9
気分,9
研究室,9
アプリ,9
設定,9
サウスパーク,9
マウス,9
新幹線,9
ゲーム,9
会話,9
いっか,9
仕事,9
CM,9
雨,9
急,9
Java,9
Mac,9
データ,9
マジ,9
他人,9
ネタ,9
嫌,9
授業,9
ワロタ,9
調子,9
音楽,9
写真,8
感じ,8
実装,8
スマフォ,8
ゼミ,8
日本,8
他,8
ツイート,8
渋谷,8
起動,8
予定,8
docomo,8
満足,8
顔,8
値段,8
tex,8
ディスプレイ,8
理由,8
Linux,8
嘘,8
便利,8
用意,8
意識,7
試験,7
Google,7
卒業,7
python,7
ボタン,7
名前,7
Windows,7
指摘,7
情報,7
喉,7
心配,7
重要,7
お腹,7
生協,7
作業,7
外,7
大丈夫,7
地元,7
使い方,7
音,7
飯,7
プログラマ,7
インストール,7
ソースコード,7
風呂,7
コンビニ,7
説明,7
期待,7
ログイン,7
夏休み,6
Python,6
頭痛,6
楽しみ,6
Gmail,6
山,6
OS,6
仕方,6
息抜き,6
画面,6
間,6
好き,6
内容,6
友人,6
綺麗,6
糞コード,6
Google+,6
SSD,6
配列,6
金,6
ネット,6
Windows8,6
電話,6
検索,6
曲,6
テスト,6
大阪,6
謎,6
発表,6
!?,6
mixi,6
ソニー,6
アホみたい,6
先生,6
罠,6
机,6
人工知能,6
女の子,6
ページ,6
地獄,6
件,6
Android,5
休憩,5
放置,5
今更,5
爪,5
記事,5
emacs,5
au,5
デバッグ,5
モニタ,5
コイツ,5
バッテリー,5
かん,5
大変,5
環境,5
ヤツ,5
GoogleReader,5
糞ワロタ,5
イヤホン,5
目的,5
最初,5
方法,5
ゲット,5
夏,5
反応,5
変換,5
ライブラリ,5
阪急,5
人間,5
携帯,5
ぇー,5
CD,5
停電,5
TA,5
表現,5
腹,5
目薬,5
明らか,5
コマンド,5
光,5
利用,5
発見,5
快適,5
余裕,5
GW,5
キツイ,5
ボールペン,5
小指,5
git,5
スピーカー,5
興味,5
色,5
気持ち,5
ピスタチオ,5
ジュンク堂,5
情報学部,5
財布,5
海,5
マクド,4
院棟,4
単語,4
端末,4
シャープ,4
冷蔵庫,4
すきー,4
C言語,4
開催,4
大人,4
番組,4
テキスト,4
github,4
高速,4
USB3.0,4
横,4
資料,4
一緒,4
判断,4
帰り,4
病気,4
デスクトップ,4
和民,4
安心,4
最後,4
アップデート,4
ノートPC,4
ょー,4
横浜,4
声,4
クリック,4
開発者,4
MBA,4
チーム,4
傘,4
Xcode,4
嫌い,4
skype,4
facebook,4
紙,4
字,4
ビール,4
iPhone,4
先,4
模様替え,4
リファクタリング,4
エラー,4
機会,4
日本語,4
無線LAN,4
使用,4
エディタ,4
ポインタ,4
絶望,4
Arduino,4
暇,4
ドコモ,4
準備,4
USBメモリ,4
箱,4
整理,4
当たり前,4
場所,4
kinect,4
ヤバい,4
動き,4
ハッカー,4
ヤバイ,4
予感,4
味,4
本当,4
糞みたい,4
カレー,4
発言,4
画像,4
xperia,4
日本酒,4
ブラックサンダー,4
友達,4
ペン,4
ブラウザ,4
サル,4
放送,4
amazon,4
サーバー,4
ガラケー,4
口,4
概念,4
ITホワイトボックス,4
ボトルネック,4
時代,4
アルゴリズム,4
成績,4
お知らせ,4
肉,4
買い物,4
やる気,4
wifi,4
MacBookAir,4
ベランダ,4
存在,4
特定,4
カラオケ,4
完成,4
実習,4
RT,4
webページ,4
コメント,4
数字,4
debian,4
コマンドライン,3
引き,3
阪大,3
中身,3
インタフェース,3
JAXA,3
認識,3
髪,3
ぼけ,3
Facebook,3
量,3
アレ,3
Javascript,3
有効,3
VirtualBox,3
スクリプト,3
アカウント,3
アイコン,3
英語力,3
素敵,3
プレイ,3
ホント,3
つり革広告,3
形,3
ビッグデータ,3
ろう?,3
中途半端,3
趣味,3
(',3
Bulls,3
無茶,3
中間発表,3
秋学期,3
Word,3
タッチパネル,3
普及,3
黒子,3
驚き,3
遊び,3
アルバム,3
インテル,3
元,3
システム,3
講義,3
選挙,3
公開,3
集中力,3
うそ,3
容量,3
赤,3
ミサワ,3
店,3
terminal,3
iPad,3
体調,3
登山,3
言葉,3
地雷,3
違和感,3
世の中,3
JavaScript,3
片っ端,3
携帯電話,3
楽チン,3
部分,3
自作,3
プリンタ,3
天気,3
思い出,3
鼻,3
状況,3
Nexus7,3
精神,3
言い訳,3
ロッカー,3
arduino,3
いや,3
コンパイル,3
キーバインド,3
導入,3
タイトル,3
後輩,3
耳,3
ドア,3
可能性,3
キモい,3
告白,3
キモ,3
時計,3
ビールうめー,3
仕組み,3
見た目,3
GUI,3
マック,3
SA,3
春,3
ファイル,3
報道,3
おっさん,3
暗号,3
メモ帳,3
変数,3
生活,3
ワイン,3
グラフ,3
ジャックダニエル,3
選択肢,3
youtube,3
Git,3
咳,3
首,3
テロ,3
復帰,3
/(^,3
答え,3
linux,3
あん,3
Microsoft,3
UI,3
お客様,3
リーダブルコード,3
発音,3
チャレンジ,3
隣,3
R棟,3
後悔,3
若者,3
ドイツ語,3
鍋,3
角瓶,3
reference,3
早め,3
窓,3
カオス,3
コービー,3
ポイント,3
行動,3
短大,3
wheezy,3
無駄遣い,3
数,3
国,3
お話,3
必死,3
進化,3
てん,3
鞄,3
勘違い,3
スーパー,3
アマゾン,3
ポチ,3
エルピーダ,3
デュアルディスプレイ,3
ヨドバシ,3
ぃすきー,3
関数名,3
時点,3
ノマド,3
女,3
覚え,3
意味不明,3
if文,3
ポケモン,3
秀,3
人生,3
三ツ矢サイダー,3
C++,3
高度,3
フリーズ,3
把握,3
基礎(,3
マシ,3
基本的,3
表示,3
クロノトリガー,3
サスペンド,3
広告,3
シーズン,3
考え事,3
詐欺,3
おなか,3
余計,3
名言集,3
ターミナル,3
laptop,3
感動,3
英語論文,3
MacBookPro,3
日本通信,3
無料,3
実況,3
題,3
勝つる,3
動画,3
ssh,3
代わり,3
リビング,3
負け,3
自転車,3
ラーメン,3
!」,3
実機,3
感,3
iPodtouch,3
バス停,3
傷口,3
勝負,3
冷静,3
風呂入ろう,3
Xperiaarc,3
まじ,3
周り,3
帰宅,3
噂,3
成果,3
たより,3
GNOME,3
カート,3
MLDC,3
GNOME3,3
京都,3
録画予約,3
CDTV,3
学部,3
ソフト,3
返信,3
不思議,3
決定,3
証拠,2
事務,2
ハルちゃん,2
キャリア,2
電子書籍,2
解雇,2
上,2
フィンランド,2
Googleリーダー,2
それなり,2
LT,2
Retina,2
ゼミ室,2
見出し,2
C/C++,2
テキストマイニング,2
グルーポン,2
スマホ,2
事前,2
胃,2
学校,2
PS2,2
通学,2
山の上,2
放射能,2
ゼミ展,2
PSP,2
失敗,2
テキストデータ,2
どん,2
ヤバ,2
取得,2
別,2
無視,2
えい,2
ググ,2
製品,2
コントローラ,2
ダルマ,2
爆発,2
浪費,2
高校生,2
料金,2
影,2
空気,2
爆睡,2
バックアップ,2
tweetボタン,2
限界,2
ハッカソン,2
サーバ,2
大事,2
バランス,2
イカン,2
SPモード,2
Tron:Legacy,2
今期,2
bmobile,2
消費量,2
気力,2
空,2
発売,2
SVM,2
ezw,2
フォント,2
タオル,2
モンスター,2
ムック,2
品川,2
JAVA,2
通信,2
ノート,2
tmux,2
比較,2
標的,2
お願い,2
RSS,2
忍耐,2
クイズ,2
URI,2
日,2
ミニバッファ,2
ミュウツー,2
学習,2
想定,2
半袖,2
荷物,2
映画館,2
パターン,2
富山,2
元気,2
クール,2
javascript,2
ライフゲーム,2
馬鹿みたい,2
液晶ディスプレイ,2
OP,2
不安,2
土日,2
ドラマ,2
つけ麺,2
CPU,2
hogehoge,2
客観的,2
希望,2
フィード登録,2
ーーーー,2
うめぇ,2
HTML,2
ubuntu,2
モテ,2
モノ,2
香味,2
デザイン,2
o^)/,2
反省,2
o^)\,2
女子力UP,2
運勢,2
いくら,2
力,2
プログラマー,2
宗教,2
センサー,2
風,2
操作,2
刺身,2
店員,2
ドヤ顔,2
android,2
三菱電機,2
web,2
版,2
新譜,2
曲名,2
テレビ的,2
Emacs布教,2
virtualbox,2
項目,2
花火,2
ゅー,2
Amazon,2
爆笑,2
消化,2
素人,2
カス,2
水,2
旅,2
音声操作,2
罪悪感,2
具体的,2
リフィル,2
壁紙,2
昼飯,2
社会人,2
allinfordroseNo.1,2
発狂,2
駅前,2
緑,2
steam,2
土地勘,2
つれー,2
Androidマーケット,2
顔認識,2
気分転換,2
訳,2
時間割,2
メンバー,2
post,2
文字,2
徹夜,2
少年,2
トキ,2
market,2
キター,2
coffee++;,2
amateras,2
firefoxos,2
ハードウェア,2
夢,2
確実,2
最強,2
阪急電車,2
敵,2
花,2
ベッド,2
いし,2
断層,2
達人プログラマー,2
スマート,2
ドイツ人,2
電気,2
基礎,2
LDA,2
電波,2
機械,2
ファイル整理,2
クセ,2
EPS,2
bitmap,2
キレ,2
メド,2
exciting,2
メガネ,2
大学院棟,2
文句,2
ライフハック,2
-&,2
披露,2
自室,2
効率的,2
オススメ,2
kugelschreiber,2
プラン,2
Valve,2
ストリーム,2
Javaswing,2
ブルーライト,2
専門用語,2
好み,2
キーワード,2
$(',2
絵,2
ケータイ,2
集中,2
スコープ,2
SandyBridge,2
修正,2
スコール,2
山口,2
モデル,2
糞ワロタw,2
紹介,2
タグ,2
相当性理論,2
Androidアプリ,2
不純,2
スパゲッティ,2
出力,2
順番,2
新大阪,2
文字コード,2
大きめ,2
gnome,2
Haswell,2
給料,2
兄,2
宝塚線,2
ケースファン,2
Thunderbolt,2
TL,2
目撃,2
レビュー,2
X121e,2
テクノ,2
片,2
エンジニア,2
出張費,2
クラウド,2
自力,2
オーディオ,2
webサービス,2
ビックカメラ,2
警告音,2
アイツ,2
トランクス,2
雪,2
用事,2
カメラ,2
非常,2
感覚,2
取材,2
オンキヨー,2
/.,2
BS,2
デニス,2
デカ,2
大学院,2
デル,2
home,2
bjリーグ,2
あめ,2
創造的破壊,2
ご飯,2
ロゴ,2
サンキュー,2
演説,2
感謝,2
root,2
未来,2
auto-complete,2
スーツ,2
確か,2
レジュメ,2
レベル,2
パス,2
無事,2
略,2
単位,2
キャンパス,2
わり,2
追加,2
前回,2
機能,2
判断ミス,2
格好,2
CapsLock,2
迷惑,2
英文,2
時,2
make,2
水割り,2
威力,2
歴史,2
交通費,2
チェック,2
Ubuntu,2
録画中,2
神奈川,2
焼肉,2
メールアドレス,2
体験,2
同級生,2
形態素解析,2
温度,2
バイト,2
まとめ,2
バイク,2
mac,2
電気ケトル,2
オブジェクト指向,2
スクロール,2
残念,2
購入,2
手段,2
キャンパス内,2
図書券,2
拡張,2
弾幕ゲー,2
HAI,2
価格,2
京,2
道,2
分割,2
セミコロン,2
洗濯,2
笑),2
蒲焼,2
新宿,2
